TITLE     = "kinetics example 1: constant-pressure ignition"
VARIABLES = 
"time (s)"
"Temperature (K)"
"Density (kg/m3)"
"Pressure (Pa)"
"H2"
"H"
"O"
"O2"
"OH"
"H2O"
"HO2"
"H2O2"
"C"
"CH"
"CH2"
"CH2(S)"
"CH3"
"CH4"
"CO"
"CO2"
"HCO"
"CH2O"
"CH2OH"
"CH3O"
"CH3OH"
"C2H"
"C2H2"
"C2H3"
"C2H4"
"C2H5"
"C2H6"
"HCCO"
"CH2CO"
"HCCOH"
"N"
"NH"
"NH2"
"NH3"
"NNH"
"NO"
"NO2"
"N2O"
"HNO"
"CN"
"HCN"
"H2CN"
"HCNN"
"HCNO"
"HOCN"
"HNCO"
"NCO"
"N2"
"AR"
"C3H7"
"C3H8"
"CH2CHO"
"CH3CHO"
ZONE T="zone1"
 I=101,J=1,K=1,F=POINT
DT=(  SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE )
0 1001 0.257549 101325 0.285714 0 0 0.142857 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.571429 0 0 0 0 0 
1e-05 1001 0.257549 101325 0.285714 3.1779e-10 3.13017e-11 0.142857 1.06835e-11 2.13972e-10 4.83525e-10 4.75778e-13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.87172e-25 6.345e-24 2.68308e-25 1.11842e-25 1.05412e-16 1.43812e-23 4.23609e-31 1.37252e-17 3.19094e-25 0 0 0 0 0 0 0 0 0.571429 0 0 0 0 0 
2e-05 1001 0.257549 101325 0.285714 7.98686e-10 8.42817e-11 0.142857 2.80479e-11 1.06588e-09 1.42019e-09 2.51261e-12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.95622e-24 6.63485e-23 4.16966e-24 3.52465e-24 2.64957e-16 1.50114e-22 2.28845e-29 7.14568e-17 4.95635e-24 0 0 0 0 0 0 0 0 0.571429 0 0 0 0 0 
3e-05 1001 0.257549 101325 0.285714 1.54141e-09 1.66103e-10 0.142857 5.48662e-11 2.90647e-09 3.05482e-09 7.38261e-12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.9992e-24 3.019e-22 2.20512e-23 2.7031e-23 5.11367e-16 7.26077e-22 3.17226e-28 1.97922e-16 2.62043e-23 0 0 0 0 0 0 0 0 0.571429 0 0 0 0 0 
4e-05 1001 0.257549 101325 0.285714 2.68897e-09 2.92518e-10 0.142857 9.63034e-11 6.27445e-09 5.76725e-09 1.70499e-11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.07011e-23 1.01668e-21 7.98472e-23 1.23014e-22 8.92089e-16 2.59517e-21 2.55931e-27 4.30838e-16 9.48711e-23 0 0 0 0 0 0 0 0 0.571429 0 0 0 0 0 
5e-05 1001 0.257549 101325 0.285714 4.4625e-09 4.87883e-10 0.142857 1.60347e-10 1.20028e-08 1.01447e-08 3.45494e-11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.79705e-23 2.96333e-21 2.42045e-22 4.32616e-22 1.48049e-15 7.9309e-21 1.54973e-26 8.28514e-16 2.87561e-22 0 0 0 0 0 0 0 0 0.571429 0 0 0 0 0 
6e-05 1001 0.257549 101325 0.285714 7.20397e-09 7.89867e-10 0.142857 2.59352e-10 2.13797e-08 1.70949e-08 6.45748e-11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.92195e-23 7.9856e-21 6.67206e-22 1.31631e-21 2.39001e-15 2.21345e-20 7.90877e-26 1.48111e-15 7.92625e-22 0 0 0 0 0 0 0 0 0.571429 0 0 0 0 0 
7e-05 1001 0.257549 101325 0.285714 1.14423e-08 1.25672e-09 0.142857 4.12438e-10 3.63975e-08 2.80214e-08 1.14392e-10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.66594e-23 2.05614e-20 1.74145e-21 3.67068e-21 3.79614e-15 5.84338e-20 3.62163e-25 2.52805e-15 2.06871e-21 0 0 0 0 0 0 0 0 0.571429 0 0 0 0 0 
8e-05 1001 0.257549 101325 0.285714 1.79955e-08 1.97857e-09 0.142857 6.49198e-10 6.01387e-08 4.50937e-08 1.95258e-10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.38141e-23 5.15055e-20 4.39891e-21 9.69245e-21 5.97029e-15 1.48939e-19 1.54476e-24 4.18493e-15 5.22537e-21 0 0 0 0 0 0 0 0 0.571429 0 0 0 0 0 
9e-05 1001 0.257549 101325 0.285714 2.81298e-08 3.09484e-09 0.142857 1.01547e-09 9.73734e-08 7.16654e-08 3.24648e-10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.16523e-22 1.26853e-19 1.08908e-20 2.4717e-20 9.33251e-15 3.71196e-19 6.2864e-24 6.78522e-15 1.29364e-20 0 0 0 0 0 0 0 0 0.571429 0 0 0 0 0 
